x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,value,Timestamp
2,2,3,2,0,0,3,2,1,2,1,0,0,1,1,2,-4.585582855890763,997
1,3,0,1,3,1,2,1,1,3,0,3,1,2,3,0,-4.7777220795493225,1042
3,2,0,3,2,1,3,2,0,3,1,0,0,0,1,2,-4.7617473557782315,1080
3,3,2,2,2,0,3,3,1,0,0,0,0,3,2,1,-5.028967503961576,1117
2,3,1,2,0,2,1,1,0,3,2,0,2,1,3,3,-3.175425848687954,1156
0,3,1,3,3,3,1,2,2,1,2,1,3,1,1,0,-3.5265579619883503,1200
3,0,1,1,1,0,3,2,2,3,0,1,0,2,1,2,-4.539047999044939,1242
0,1,2,3,3,2,3,3,3,2,3,0,3,2,3,3,-4.781120852035912,1284
1,2,0,2,0,0,0,2,2,3,2,3,1,1,1,1,-6.4107371662404375,1321
3,3,1,3,2,2,1,0,0,2,0,3,1,1,1,1,-5.082526511217289,1364
2,1,1,3,1,3,3,2,0,3,0,1,2,3,2,1,-3.5265579619883503,1408
3,3,3,0,1,1,3,1,2,0,0,3,1,3,2,2,-4.787639591326814,1449
0,1,0,2,0,0,1,1,0,2,3,0,3,3,2,1,-6.25932468835955,1482
3,1,1,1,2,3,0,3,2,1,0,0,3,2,0,3,-4.855910032791485,1524
3,0,1,0,1,1,3,0,3,1,3,0,0,3,2,3,-4.874906255548938,1564
1,2,0,3,2,1,2,1,2,0,3,3,2,1,1,0,-4.368140983302949,1607
1,1,2,3,2,1,0,0,2,0,2,1,1,1,2,0,-4.350700760006157,1649
3,1,3,2,2,1,2,0,3,1,0,3,0,2,0,0,-4.3933953366422,1691
3,2,1,2,0,3,2,3,3,0,0,1,3,0,3,2,-4.804852387873826,1732
2,3,1,2,1,1,1,3,3,0,3,3,1,1,0,3,-4.820957740474736,1776
0,2,1,2,3,0,1,3,1,0,3,0,2,2,1,3,-4.555457869169629,1814
3,1,0,2,3,3,2,0,2,1,3,1,3,0,3,2,-4.836840604288382,1856
2,0,1,0,2,0,1,1,2,3,1,0,1,0,3,2,-6.440248630002815,1893
2,0,2,2,3,1,0,0,2,1,2,1,2,0,0,2,-7.52547782033969,1928
0,3,3,3,0,1,0,2,2,1,1,3,0,1,2,2,-5.335718227344719,1972
1,0,1,1,1,1,3,1,1,3,2,2,1,1,1,0,-4.808896795134114,2015
1,2,2,0,0,2,2,3,2,3,2,3,0,1,2,2,-3.228617942027165,2054
2,2,2,0,1,1,0,2,3,2,1,3,0,3,2,0,-4.497540298478482,2091
1,1,0,3,1,1,1,1,0,2,2,0,3,0,2,2,-4.958204642930815,2129
3,0,1,3,2,3,1,1,3,1,0,3,0,0,0,0,-4.4514790338793,2170
3,0,1,3,1,2,1,3,1,0,0,0,3,0,1,3,-4.850232240319777,2208
3,2,3,1,3,0,3,1,1,1,1,1,2,1,0,0,-4.804852387873826,2255
3,3,0,0,1,1,3,1,3,0,0,3,1,3,0,3,-4.809578836504189,2293
1,3,1,2,0,2,1,3,3,3,0,2,1,1,3,3,-5.193998322680427,2338
2,0,3,0,1,1,2,3,2,1,2,0,3,3,3,3,-6.729658912595577,2375
3,2,1,3,3,0,2,2,0,3,1,3,2,2,2,3,-6.551519184616877,2421
0,3,2,1,2,0,1,1,0,3,3,2,2,1,3,2,-6.432119413024424,2462
2,3,3,3,3,1,3,2,3,2,3,3,2,0,0,1,-4.527665285199616,2508
2,0,0,1,0,2,2,1,3,0,3,3,3,2,2,3,-4.6133754398607785,2547
1,0,1,3,1,3,1,2,0,3,1,2,0,3,1,1,-4.741657422564639,2590
2,2,1,0,2,1,2,0,0,0,3,3,1,0,1,1,-3.526557961988351,2626
1,3,3,1,2,0,3,0,0,1,0,3,2,3,0,3,-4.613375428786902,2668
1,2,2,2,2,1,3,3,1,1,2,1,0,3,1,0,-2.714448182419248,2710
0,2,1,2,0,1,0,3,1,2,1,1,2,0,1,0,-5.353568425557949,2749
0,2,1,1,1,0,2,0,2,0,0,0,1,0,0,2,-2.438975015652846,2779
2,1,1,3,3,1,0,0,3,0,1,3,3,1,1,2,-6.311167764832659,2824
0,0,3,1,0,2,1,1,3,0,1,2,0,0,2,1,-5.441987020684074,2861
0,0,0,3,1,1,3,0,0,0,1,2,3,1,2,3,-6.287565673544874,2895
1,0,2,0,0,1,0,2,1,0,1,0,2,1,0,1,-4.527665285199616,2930
0,3,1,2,2,3,3,0,1,3,3,3,1,3,0,1,-4.8123988943980205,2975
2,1,3,1,2,3,3,0,2,1,0,1,2,0,1,2,-6.493423840366869,3017
0,0,0,3,3,2,2,3,1,1,2,2,3,1,0,0,-3.1124205337639577,3054
3,0,3,3,3,3,2,0,2,1,2,1,2,3,2,3,-4.508923012323805,3098
0,3,0,3,0,2,3,0,2,0,3,1,3,2,3,3,-2.835181179855018,3136
3,0,2,0,3,0,2,1,2,0,0,3,3,1,1,1,-3.658188201981447,3171
3,3,2,2,2,2,0,1,0,0,1,2,0,3,2,0,-4.5230789100159345,3208
1,3,2,2,2,3,3,1,3,3,3,3,3,2,0,2,-4.435282148418375,3259
0,0,0,2,1,0,2,2,3,0,2,2,3,3,0,0,-4.0441620574958925,3290
0,3,1,3,3,2,3,1,2,1,3,2,1,0,3,1,-3.701239038134489,3334
0,2,0,3,2,2,1,3,2,0,2,3,3,2,3,0,-4.751329213111777,3369
3,2,1,3,3,2,0,0,2,0,1,0,1,2,1,1,-6.105171834763002,3409
0,1,3,3,3,1,2,0,2,0,0,1,1,0,2,1,-2.835181179855018,3450
0,1,2,1,0,2,0,3,2,1,3,0,0,0,0,2,-3.00664268953572,3487
1,1,3,1,2,2,1,1,1,3,3,2,1,3,1,2,-4.583394411844106,3537
1,0,1,3,1,1,1,3,0,3,2,0,3,0,2,0,-4.826739392200954,3575
1,3,0,3,3,2,0,1,0,3,2,1,2,3,2,3,-4.750895416199958,3619
0,1,1,3,0,3,1,2,0,1,0,3,3,3,0,0,-6.303975273360418,3659
0,0,0,3,3,0,1,1,3,1,0,2,0,1,2,3,-6.400384105709261,3694
1,1,0,2,3,0,3,0,0,3,3,1,2,0,0,0,-4.688067064411664,3733
0,1,2,0,2,1,0,1,2,2,2,3,1,1,0,2,-3.34958383559943,3768
1,2,2,0,3,0,3,2,1,3,1,2,1,1,1,3,-5.062515823333687,3810
2,1,2,3,0,2,3,3,1,1,0,0,2,1,3,3,-4.801920118349116,3851
2,3,3,1,0,0,0,3,2,1,2,3,0,2,0,1,-6.405160518109257,3891
2,2,3,1,3,0,3,2,1,2,2,2,3,1,3,3,-4.5668405830149545,3932
1,1,2,1,2,0,0,0,0,0,2,0,0,3,0,2,-4.9124373686138245,3965
1,3,1,2,0,0,0,3,1,1,2,1,1,0,1,2,-5.216855819880907,4009
